dataset_rows,run_number,time_seconds,status
100000,1,0.9,OK
100000,2,0.7151,OK
100000,3,0.5674,OK
500000,1,0.9898,OK
500000,2,0.885,OK
500000,3,0.8794,OK
1000000,1,1.2335,OK
1000000,2,1.1525,OK
1000000,3,1.1466,OK
2000000,1,1.9265,OK
2000000,2,1.8739,OK
2000000,3,2.0168,OK
