condition,run_number,time_seconds,status
spark_uncached,1,3.3432,OK
spark_uncached,2,0.5787,OK
spark_uncached,3,0.513,OK
spark_uncached,4,0.5025,OK
spark_uncached,5,0.3979,OK
spark_cache_build,0,2.9912,OK
spark_cached,1,0.6089,OK
spark_cached,2,0.3372,OK
spark_cached,3,0.3081,OK
spark_cached,4,0.2727,OK
spark_cached,5,0.256,OK
