dataset_rows,run_number,time_seconds,status
100000,1,3.7745,OK
100000,2,3.7754,OK
100000,3,3.7745,OK
500000,1,6.3579,OK
500000,2,6.3297,OK
500000,3,6.4968,OK
1000000,1,9.5358,OK
1000000,2,9.4858,OK
1000000,3,9.5355,OK
2000000,1,16.0527,OK
2000000,2,15.9,OK
2000000,3,15.9989,OK
